date,SACTMIN,SPOSTMIN
1/27/2021,3.0,9.204545454545455
1/28/2015,12.444444444444445,12.8125
1/28/2016,11.0,2.046511627906977
1/28/2017,29.5,4.790697674418604
1/28/2018,24.75,-89.0
1/28/2019,31.0,-56.68055555555556
1/28/2020,45.0,35.108695652173914
1/28/2021,6.625,11.720430107526882
1/29/2015,5.0,9.89102564102564
1/29/2016,9.0,30.863636363636363
1/29/2017,10.0,15.6875
1/29/2018,22.5,-7.261682242990654
1/29/2019,17.0,-153.1954887218045
1/29/2020,22.0,-32.991379310344826
1/29/2021,12.666666666666666,16.813186813186814
1/3/2015,13.0,30.964285714285715
1/3/2016,8.0,16.63063063063063
1/3/2017,17.0,41.7
1/3/2018,17.333333333333332,13.32716049382716
1/3/2019,18.0,-57.69178082191781
