date,ride_name,SACTMIN,SPOSTMIN
10/1/2019,7_dwarfs_train,24.0,44.59183673469388
10/1/2021,7_dwarfs_train,23.666666666666668,-4.92603550295858
10/10/2015,7_dwarfs_train,,-38.51851851851852
10/10/2016,7_dwarfs_train,35.333333333333336,70.1923076923077
10/10/2017,7_dwarfs_train,54.5,42.351351351351354
10/10/2018,7_dwarfs_train,,-36.275
10/10/2019,7_dwarfs_train,54.57142857142857,62.11267605633803
10/10/2021,7_dwarfs_train,44.625,43.69565217391305
10/11/2015,7_dwarfs_train,61.5,32.785185185185185
10/11/2016,7_dwarfs_train,36.0,58.21367521367522
10/11/2017,7_dwarfs_train,50.5,36.604790419161674
10/11/2018,7_dwarfs_train,29.5,-137.6711409395973
10/11/2019,7_dwarfs_train,39.6,64.11347517730496
10/11/2021,7_dwarfs_train,52.18181818181818,69.85873605947955
10/12/2015,7_dwarfs_train,33.25,60.87591240875913
10/12/2016,7_dwarfs_train,66.0,130.31746031746033
10/12/2017,7_dwarfs_train,28.0,35.49333333333333
10/12/2018,7_dwarfs_train,29.0,-90.76506024096386
10/12/2019,7_dwarfs_train,,103.49624060150376
10/12/2021,7_dwarfs_train,46.2,-174.41139240506328
10/13/2015,7_dwarfs_train,45.25,-59.134453781512605
10/13/2016,7_dwarfs_train,22.5,60.04385964912281
10/13/2017,7_dwarfs_train,55.666666666666664,42.96894409937888
10/13/2018,7_dwarfs_train,17.0,-145.125
10/13/2019,7_dwarfs_train,61.5,96.34453781512605
10/13/2021,7_dwarfs_train,26.529411764705884,42.656140350877195
10/14/2015,7_dwarfs_train,30.0,62.284615384615385
10/14/2016,7_dwarfs_train,27.0,67.01492537313433
10/14/2017,7_dwarfs_train,141.0,80.05333333333333
10/14/2018,7_dwarfs_train,85.0,-265.26666666666665
10/14/2019,7_dwarfs_train,37.166666666666664,65.25
10/14/2021,7_dwarfs_train,41.25,44.48689138576779
10/15/2015,7_dwarfs_train,30.625,53.104838709677416
10/15/2016,7_dwarfs_train,61.5,10.642276422764228
10/15/2017,7_dwarfs_train,25.75,40.83116883116883
10/15/2018,7_dwarfs_train,49.0,6.992424242424242
10/15/2019,7_dwarfs_train,21.5,51.38297872340426
10/15/2021,7_dwarfs_train,29.5,-229.58841463414635
10/16/2015,7_dwarfs_train,46.42857142857143,55.75396825396825
10/16/2016,7_dwarfs_train,38.285714285714285,58.03846153846154
10/16/2017,7_dwarfs_train,,84.27027027027027
10/16/2018,7_dwarfs_train,23.0,-54.472727272727276
10/16/2019,7_dwarfs_train,31.0,103.768
10/16/2021,7_dwarfs_train,22.166666666666668,-169.58098591549296
10/17/2015,7_dwarfs_train,25.5,74.82394366197182
10/17/2016,7_dwarfs_train,,95.55555555555556
10/17/2017,7_dwarfs_train,,37.25657894736842
10/17/2018,7_dwarfs_train,62.0,-20.2317880794702
10/17/2019,7_dwarfs_train,45.5,10.792857142857143
10/17/2021,7_dwarfs_train,45.0,19.26086956521739
10/18/2015,7_dwarfs_train,34.5,52.06349206349206
10/18/2016,7_dwarfs_train,17.5,45.82051282051282
10/18/2017,7_dwarfs_train,79.0,61.63522012578616
10/18/2018,7_dwarfs_train,66.0,-120.87012987012987
10/18/2019,7_dwarfs_train,28.166666666666668,9.839160839160838
10/18/2021,7_dwarfs_train,33.0,70.1103448275862
10/19/2015,7_dwarfs_train,34.5,73.62204724409449
10/19/2016,7_dwarfs_train,40.25,78.4090909090909
10/19/2017,7_dwarfs_train,31.0,51.61194029850746
10/19/2018,7_dwarfs_train,51.333333333333336,1.2531645569620253
10/19/2019,7_dwarfs_train,,-203.84732824427482
10/19/2021,7_dwarfs_train,39.0,39.98422712933754
10/2/2015,7_dwarfs_train,,-501.2352941176471
10/2/2016,7_dwarfs_train,46.666666666666664,-75.944
10/2/2017,7_dwarfs_train,,-73.30281690140845
10/2/2018,7_dwarfs_train,29.2,-41.6280487804878
10/2/2019,7_dwarfs_train,11.5,-25.570247933884296
10/2/2021,7_dwarfs_train,31.714285714285715,45.36129032258064
10/20/2015,7_dwarfs_train,23.0,48.046875
10/20/2016,7_dwarfs_train,31.625,58.008849557522126
