date,SACTMIN,SPOSTMIN
1/28/2015,13.529411764705882,15.0
1/28/2016,8.666666666666666,10.061728395061728
1/28/2017,13.5,-76.75308641975309
1/28/2018,13.714285714285714,-123.7258064516129
1/28/2019,45.0,-111.34482758620689
1/28/2020,28.5,28.095744680851062
1/28/2021,23.625,29.095744680851062
1/29/2015,16.285714285714285,16.88053097345133
1/29/2016,17.166666666666668,26.08108108108108
1/29/2017,3.4285714285714284,9.506172839506172
1/29/2018,25.2,2.765217391304348
1/29/2019,19.0,-164.6969696969697
1/29/2020,17.0,-57.43478260869565
1/29/2021,30.0,38.59375
1/3/2015,10.666666666666666,30.074074074074073
1/3/2016,5.8,-7.91743119266055
1/3/2017,38.333333333333336,-4.078431372549019
1/3/2018,11.0,3.8
1/3/2019,31.181818181818183,-88.32876712328768
