date,ride_name,sactmin
2/11/2015,splash_mountain,15
2/11/2015,7_dwarfs_train,44
2/11/2015,pirates_of_caribbean,27
2/12/2015,splash_mountain,20
2/12/2015,big_thunder_mtn,25
2/12/2015,pirates_of_caribbean,17
2/12/2015,7_dwarfs_train,56
2/12/2015,haunted_mansion,33
2/12/2015,it_s_a_small_world,10
2/12/2015,space_mountain,6
2/12/2015,peter_pan_s_flight,23
2/13/2015,haunted_mansion,9
2/13/2015,peter_pan_s_flight,15
2/13/2015,splash_mountain,4
2/13/2015,it_s_a_small_world,11
2/13/2015,big_thunder_mtn,16
2/13/2015,pirates_of_caribbean,17
2/13/2015,7_dwarfs_train,50
2/13/2015,space_mountain,39
2/14/2015,peter_pan_s_flight,21
2/14/2015,it_s_a_small_world,5
2/14/2015,pirates_of_caribbean,14
2/14/2015,7_dwarfs_train,28
2/14/2015,haunted_mansion,9
2/14/2015,space_mountain,22
2/14/2015,big_thunder_mtn,25
2/15/2015,it_s_a_small_world,19
2/15/2015,haunted_mansion,13
2/15/2015,space_mountain,36
2/15/2015,big_thunder_mtn,21
2/15/2015,peter_pan_s_flight,46
2/15/2015,7_dwarfs_train,46
2/15/2015,pirates_of_caribbean,23
2/16/2015,haunted_mansion,17
2/16/2015,big_thunder_mtn,21
2/16/2015,peter_pan_s_flight,15
2/16/2015,pirates_of_caribbean,17
2/16/2015,it_s_a_small_world,6
2/16/2015,7_dwarfs_train,47
2/16/2015,space_mountain,30
2/16/2015,splash_mountain,14
2/17/2015,peter_pan_s_flight,43
2/17/2015,7_dwarfs_train,46
2/17/2015,space_mountain,8
2/17/2015,pirates_of_caribbean,17
2/17/2015,big_thunder_mtn,5
2/17/2015,haunted_mansion,14
2/17/2015,it_s_a_small_world,10
2/18/2015,splash_mountain,14
2/18/2015,peter_pan_s_flight,72
2/18/2015,big_thunder_mtn,14
2/18/2015,pirates_of_caribbean,25
2/18/2015,7_dwarfs_train,42
2/18/2015,it_s_a_small_world,16
2/18/2015,space_mountain,6
2/18/2015,haunted_mansion,32
2/19/2015,pirates_of_caribbean,24
2/19/2015,it_s_a_small_world,17
2/19/2015,7_dwarfs_train,41
2/19/2015,haunted_mansion,24
2/19/2015,space_mountain,24
2/19/2015,big_thunder_mtn,14
2/20/2015,it_s_a_small_world,10
